acousticness,analysis_url,danceability,duration_ms,energy,id,instrumentalness,key,liveness,loudness,mode,speechiness,tempo_normalised,tempo,time_signature,track_href,type,uri,valence,0
0.435,https://api.spotify.com/v1/audio-analysis/32107DdzIGbVs9Pi54MuRS,0.422,191030,0.422,32107DdzIGbVs9Pi54MuRS,0,4,0.0936,-5.053,0,0.0296,0.37656875,110.251,4,https://api.spotify.com/v1/tracks/32107DdzIGbVs9Pi54MuRS,audio_features,spotify:track:32107DdzIGbVs9Pi54MuRS,0.206,
0.172,https://api.spotify.com/v1/audio-analysis/7uiBocndm12aKbsdnQ3Scx,0.441,187298,0.527,7uiBocndm12aKbsdnQ3Scx,0,3,0.233,-5.318,1,0.0966,0.2898125,96.37,4,https://api.spotify.com/v1/tracks/7uiBocndm12aKbsdnQ3Scx,audio_features,spotify:track:7uiBocndm12aKbsdnQ3Scx,0.589,
0.346,https://api.spotify.com/v1/audio-analysis/4VUwkH455At9kENOfzTqmF,0.638,180000,0.717,4VUwkH455At9kENOfzTqmF,0,2,0.105,-4.722,1,0.0337,0.31266875,100.027,4,https://api.spotify.com/v1/tracks/4VUwkH455At9kENOfzTqmF,audio_features,spotify:track:4VUwkH455At9kENOfzTqmF,0.249,
0.0623,https://api.spotify.com/v1/audio-analysis/5icOoE6VgqFKohjWWNp0Ac,0.791,156347,0.565,5icOoE6VgqFKohjWWNp0Ac,0,5,0.156,-3.933,0,0.0439,0.31225625,99.961,4,https://api.spotify.com/v1/tracks/5icOoE6VgqFKohjWWNp0Ac,audio_features,spotify:track:5icOoE6VgqFKohjWWNp0Ac,0.181,
0.00791,https://api.spotify.com/v1/audio-analysis/7ql71hBakyMi0Lxiq3Mugs,0.51,226747,0.835,7ql71hBakyMi0Lxiq3Mugs,0,3,0.219,-4.673,1,0.0447,0.56265,140.024,4,https://api.spotify.com/v1/tracks/7ql71hBakyMi0Lxiq3Mugs,audio_features,spotify:track:7ql71hBakyMi0Lxiq3Mugs,0.435,
0.0691,https://api.spotify.com/v1/audio-analysis/25sgk305KZfyuqVBQIahim,0.719,187436,0.704,25sgk305KZfyuqVBQIahim,0,1,0.166,-4.724,1,0.0476,0.5187625,133.002,4,https://api.spotify.com/v1/tracks/25sgk305KZfyuqVBQIahim,audio_features,spotify:track:25sgk305KZfyuqVBQIahim,0.628,
0.0421,https://api.spotify.com/v1/audio-analysis/4kV4N9D1iKVxx1KLvtTpjS,0.726,190440,0.554,4kV4N9D1iKVxx1KLvtTpjS,0,5,0.106,-5.29,0,0.0917,0.74999375,169.999,4,https://api.spotify.com/v1/tracks/4kV4N9D1iKVxx1KLvtTpjS,audio_features,spotify:track:4kV4N9D1iKVxx1KLvtTpjS,0.335,
0.0372,https://api.spotify.com/v1/audio-analysis/2BgEsaKNfHUdlh97KmvFyo,0.697,186987,0.683,2BgEsaKNfHUdlh97KmvFyo,0,1,0.137,-2.881,0,0.117,0.28833125,96.133,4,https://api.spotify.com/v1/tracks/2BgEsaKNfHUdlh97KmvFyo,audio_features,spotify:track:2BgEsaKNfHUdlh97KmvFyo,0.603,
0.745,https://api.spotify.com/v1/audio-analysis/02GtNoUv85fOPEaCTlpYzr,0.586,242934,0.323,02GtNoUv85fOPEaCTlpYzr,2.57E-06,1,0.0769,-11.428,1,0.0262,0.242975,88.876,4,https://api.spotify.com/v1/tracks/02GtNoUv85fOPEaCTlpYzr,audio_features,spotify:track:02GtNoUv85fOPEaCTlpYzr,0.428,
0.059,https://api.spotify.com/v1/audio-analysis/3D110t9ctcoOoylXsc3iR8,0.697,212002,0.551,3D110t9ctcoOoylXsc3iR8,0,5,0.0762,-6.179,0,0.0282,0.312475,99.996,4,https://api.spotify.com/v1/tracks/3D110t9ctcoOoylXsc3iR8,audio_features,spotify:track:3D110t9ctcoOoylXsc3iR8,0.339,
0.663,https://api.spotify.com/v1/audio-analysis/66ZVMnlIAvGM6NIZJ3xweN,0.57,218133,0.463,66ZVMnlIAvGM6NIZJ3xweN,0,0,0.092,-7.655,1,0.317,0.43546875,119.675,4,https://api.spotify.com/v1/tracks/66ZVMnlIAvGM6NIZJ3xweN,audio_features,spotify:track:66ZVMnlIAvGM6NIZJ3xweN,0.499,
0.535,https://api.spotify.com/v1/audio-analysis/2P91MQbaiQOfbiz9VqhqKQ,0.752,197437,0.505,2P91MQbaiQOfbiz9VqhqKQ,2.55E-06,9,0.104,-7.621,1,0.253,0.2623125,91.97,4,https://api.spotify.com/v1/tracks/2P91MQbaiQOfbiz9VqhqKQ,audio_features,spotify:track:2P91MQbaiQOfbiz9VqhqKQ,0.419,
0.0174,https://api.spotify.com/v1/audio-analysis/09oZ9eXQ2fo6YDrPzJqAoP,0.729,177067,0.545,09oZ9eXQ2fo6YDrPzJqAoP,0.000274,0,0.369,-7.818,1,0.0316,0.331325,103.012,4,https://api.spotify.com/v1/tracks/09oZ9eXQ2fo6YDrPzJqAoP,audio_features,spotify:track:09oZ9eXQ2fo6YDrPzJqAoP,0.514,
0.176,https://api.spotify.com/v1/audio-analysis/4u8RkgV6P4TLi89SmlUtv8,0.705,349713,0.401,4u8RkgV6P4TLi89SmlUtv8,8.66E-06,6,0.0735,-8.9,1,0.0376,0.56269375,140.031,4,https://api.spotify.com/v1/tracks/4u8RkgV6P4TLi89SmlUtv8,audio_features,spotify:track:4u8RkgV6P4TLi89SmlUtv8,0.481,
0.0377,https://api.spotify.com/v1/audio-analysis/7tXQdx76iQVFeaBGDzXpZ2,0.689,201225,0.903,7tXQdx76iQVFeaBGDzXpZ2,5.70E-05,11,0.074,-6.153,0,0.0866,0.593825,145.012,4,https://api.spotify.com/v1/tracks/7tXQdx76iQVFeaBGDzXpZ2,audio_features,spotify:track:7tXQdx76iQVFeaBGDzXpZ2,0.695,
0.862,https://api.spotify.com/v1/audio-analysis/0ztDBQdQmdVZvorSmIjMih,0.566,260240,0.121,0ztDBQdQmdVZvorSmIjMih,0,8,0.0788,-8.206,1,0.0345,0.532925,135.268,4,https://api.spotify.com/v1/tracks/0ztDBQdQmdVZvorSmIjMih,audio_features,spotify:track:0ztDBQdQmdVZvorSmIjMih,0.293,
0.0969,https://api.spotify.com/v1/audio-analysis/5JEx7HbmvHQQswJCsoo9rA,0.574,182623,0.758,5JEx7HbmvHQQswJCsoo9rA,0,1,0.395,-5.029,0,0.0621,0.58819375,144.111,4,https://api.spotify.com/v1/tracks/5JEx7HbmvHQQswJCsoo9rA,audio_features,spotify:track:5JEx7HbmvHQQswJCsoo9rA,0.492,
0.704,https://api.spotify.com/v1/audio-analysis/6tsOcBnaKgzK22yEiqRh8P,0.892,158587,0.507,6tsOcBnaKgzK22yEiqRh8P,3.14E-05,0,0.109,-8.282,1,0.378,0.58725,143.96,4,https://api.spotify.com/v1/tracks/6tsOcBnaKgzK22yEiqRh8P,audio_features,spotify:track:6tsOcBnaKgzK22yEiqRh8P,0.695,
0.192,https://api.spotify.com/v1/audio-analysis/3VQb0rq27GPX92X53Ni1Lc,0.413,207019,0.561,3VQb0rq27GPX92X53Ni1Lc,0,1,0.0914,-3.092,1,0.0517,0.2418125,88.69,4,https://api.spotify.com/v1/tracks/3VQb0rq27GPX92X53Ni1Lc,audio_features,spotify:track:3VQb0rq27GPX92X53Ni1Lc,0.352,
0.568,https://api.spotify.com/v1/audio-analysis/7fa9MBXhVfQ8P8Df9OEbD8,0.851,235545,0.541,7fa9MBXhVfQ8P8Df9OEbD8,0,0,0.13,-6.825,1,0.0505,0.46849375,124.959,4,https://api.spotify.com/v1/tracks/7fa9MBXhVfQ8P8Df9OEbD8,audio_features,spotify:track:7fa9MBXhVfQ8P8Df9OEbD8,0.448,
0.445,https://api.spotify.com/v1/audio-analysis/1pNAf6W7POwjOD8x8mWf8G,0.715,215556,0.71,1pNAf6W7POwjOD8x8mWf8G,0.000284,4,0.103,-9.504,1,0.432,0.70026875,162.043,4,https://api.spotify.com/v1/tracks/1pNAf6W7POwjOD8x8mWf8G,audio_features,spotify:track:1pNAf6W7POwjOD8x8mWf8G,0.526,
0.621,https://api.spotify.com/v1/audio-analysis/5CThcDR9mycL3TjNKQ2qFk,0.344,321486,0.405,5CThcDR9mycL3TjNKQ2qFk,0.136,2,0.195,-7.739,1,0.0289,0.14791875,73.667,4,https://api.spotify.com/v1/tracks/5CThcDR9mycL3TjNKQ2qFk,audio_features,spotify:track:5CThcDR9mycL3TjNKQ2qFk,0.385,
0.404,https://api.spotify.com/v1/audio-analysis/1WSGTYKLEpKfNQYYW5Oymt,0.541,158027,0.468,1WSGTYKLEpKfNQYYW5Oymt,3.65E-06,10,0.358,-4.039,0,0.362,0.2829125,95.266,4,https://api.spotify.com/v1/tracks/1WSGTYKLEpKfNQYYW5Oymt,audio_features,spotify:track:1WSGTYKLEpKfNQYYW5Oymt,0.69,
