acousticness,analysis_url,danceability,duration_ms,energy,id,instrumentalness,key,liveness,loudness,mode,speechiness,tempo_normalised,tempo,time_signature,track_href,type,uri,valence
0.0139,https://api.spotify.com/v1/audio-analysis/29OAg7zVADbu0ONXJppCFX,0.669,172850,0.915,29OAg7zVADbu0ONXJppCFX,0,10,0.131,-5.904,0,0.0719,0.44358125,120.973,4,https://api.spotify.com/v1/tracks/29OAg7zVADbu0ONXJppCFX,audio_features,spotify:track:29OAg7zVADbu0ONXJppCFX,0.608
0.00858,https://api.spotify.com/v1/audio-analysis/1JvUmKSl9Mg6mQnmbjLYyz,0.824,248786,0.708,1JvUmKSl9Mg6mQnmbjLYyz,0,1,0.15,-5.836,0,0.201,0.67479375,157.967,4,https://api.spotify.com/v1/tracks/1JvUmKSl9Mg6mQnmbjLYyz,audio_features,spotify:track:1JvUmKSl9Mg6mQnmbjLYyz,0.522
0.0557,https://api.spotify.com/v1/audio-analysis/13hvHEstJ4sNbzdroPrPI3,0.675,190560,0.729,13hvHEstJ4sNbzdroPrPI3,0,8,0.189,-4.383,1,0.146,0.3124125,99.986,4,https://api.spotify.com/v1/tracks/13hvHEstJ4sNbzdroPrPI3,audio_features,spotify:track:13hvHEstJ4sNbzdroPrPI3,0.63
0.219,https://api.spotify.com/v1/audio-analysis/23KSyhPMqyUVrrLo300YiW,0.567,192542,0.626,23KSyhPMqyUVrrLo300YiW,0.966,7,0.108,-9.059,0,0.0519,0.25016875,90.027,4,https://api.spotify.com/v1/tracks/23KSyhPMqyUVrrLo300YiW,audio_features,spotify:track:23KSyhPMqyUVrrLo300YiW,0.625
0.122,https://api.spotify.com/v1/audio-analysis/4pgSP5IFauYACHCMGA0T8r,0.582,244308,0.643,4pgSP5IFauYACHCMGA0T8r,0.000493,4,0.109,-8.26,0,0.0388,0.81270625,180.033,4,https://api.spotify.com/v1/tracks/4pgSP5IFauYACHCMGA0T8r,audio_features,spotify:track:4pgSP5IFauYACHCMGA0T8r,0.349
0.0563,https://api.spotify.com/v1/audio-analysis/1VKhkL590NFnmLPogX4ATh,0.742,221419,0.809,1VKhkL590NFnmLPogX4ATh,2.08E-05,0,0.255,-6.13,0,0.055,0.4125,116,4,https://api.spotify.com/v1/tracks/1VKhkL590NFnmLPogX4ATh,audio_features,spotify:track:1VKhkL590NFnmLPogX4ATh,0.953
0.0181,https://api.spotify.com/v1/audio-analysis/54NKLES52dJZKcuLgbNS4B,0.567,235000,0.575,54NKLES52dJZKcuLgbNS4B,1.30E-05,9,0.397,-6.393,0,0.0333,0.40634375,115.015,4,https://api.spotify.com/v1/tracks/54NKLES52dJZKcuLgbNS4B,audio_features,spotify:track:54NKLES52dJZKcuLgbNS4B,0.339
0.504,https://api.spotify.com/v1/audio-analysis/5xOAQ5o5mPI2FZZEOu1NZL,0.484,229600,0.689,5xOAQ5o5mPI2FZZEOu1NZL,0.285,9,0.103,-9.174,0,0.0568,0.19931875,81.891,4,https://api.spotify.com/v1/tracks/5xOAQ5o5mPI2FZZEOu1NZL,audio_features,spotify:track:5xOAQ5o5mPI2FZZEOu1NZL,0.516
0.42,https://api.spotify.com/v1/audio-analysis/48BDdjRPUJLjqj7nVmrg4d,0.732,212015,0.68,48BDdjRPUJLjqj7nVmrg4d,3.44E-06,0,0.107,-6.097,1,0.102,0.54978125,137.965,4,https://api.spotify.com/v1/tracks/48BDdjRPUJLjqj7nVmrg4d,audio_features,spotify:track:48BDdjRPUJLjqj7nVmrg4d,0.421
0.012,https://api.spotify.com/v1/audio-analysis/5oecOcmSEHs7MZiB0NPbFu,0.586,204320,0.89,5oecOcmSEHs7MZiB0NPbFu,0.00508,11,0.114,-1.988,0,0.0369,0.4316375,119.062,4,https://api.spotify.com/v1/tracks/5oecOcmSEHs7MZiB0NPbFu,audio_features,spotify:track:5oecOcmSEHs7MZiB0NPbFu,0.426
