acousticness,danceability,duration_ms,energy,id,instrumentalness,liveness,loudness,speechiness,tempo_normalised,tempo,valence,Popularity,Language,Genre
0.292,0.886,219029,0.701,6qP73DRFGojLuIk1siIhNE,1.16E-05,0.0574,-3.504,0.141,0.3312625,103.002,0.823,83,Spanish,Hip Hop
0.0662,0.77,172827,0.797,14f1n3XCW3fQhAODW0CwLK,3.81E-06,0.0858,-4.985,0.0693,0.31251875,100.003,0.393,83,German,Hip Hop
0.146,0.592,209449,0.572,5NsCv3I7o0f6vSQScG01f1,0.000172,0.115,-8.974,0.185,0.713,164.08,0.315,83,German,Hip Hop
0.0481,0.686,227476,0.807,2zDj4WjbNDmrRL6Z4YjjCA,0,0.0652,-3.324,0.0613,0.83731875,183.971,0.63,84,Spanish,Latin Pop
0.589,0.825,327467,0.69,59PYgzOiOjGDzjDT5N5oOX,0,0.413,-4.252,0.226,0.2762125,94.194,0.516,84,Spanish,Latin Pop
0.498,0.864,215963,0.426,5NPzbTzFxIQPaheZuPhn4f,0.000228,0.145,-8.392,0.0561,0.4997125,129.954,0.477,84,Spanish,Latin Pop
0.275,0.63,203067,0.692,1mdJ39D1lrR3aWIOhgeNaE,0,0.167,-4.951,0.427,0.81173125,179.877,0.82,84,German,Hip Hop
0.172,0.635,217822,0.902,4KkUjFkcQvGvWekl8RATDn,0,0.125,-3.559,0.109,0.32539375,102.063,0.286,85,Spanish,Hip Hop
0.307,0.772,254383,0.732,2XXMDz7SPZ4mSFN1PXfHUy,5.14E-06,0.106,-3.713,0.213,0.3128,100.048,0.295,85,Spanish,Latin Trap
0.354,0.791,188560,0.745,2ijef6ni2amuunRoKTlgww,2.93E-05,0.104,-3.695,0.0464,0.2750875,94.014,0.82,85,Spanish,Reggaeton
0.048,0.632,198933,0.832,7uQmJ1jgNzBpATSoWKSPFu,0,0.0705,-1.948,0.154,0.82615,182.184,0.784,85,Spanish,Latin Pop
0.122,0.786,163880,0.764,3ao3OVxHlb3C08vAaApUlm,0,0.102,-2.935,0.0798,0.25611875,90.979,0.913,85,Spanish,Latin Pop
