acousticness,danceability,duration_ms,energy,id,instrumentalness,key,liveness,loudness,mode,speechiness,tempo,time_signature,valence,popularity,year,rank,genre
0.19899999999999998,0.7979999999999999,202547,0.539,5Z3GHaZ6ec9bsiI5BenrbY,1.66e-05,1,0.165,-6.351,1,0.0421,136.94899999999998,4,0.39399999999999996,86,2018,67,pop
0.037000000000000005,0.7909999999999999,214847,0.862,7ef4DlsgrMEH11cDZd32M6,2.1899999999999997e-05,9,0.0814,-3.24,0,0.11,123.994,4,0.5920000000000001,88,2018,68,dance pop
0.217,0.7040000000000001,189467,0.611,2FY7b99s15jUprqC0M5NCT,0.0,2,0.0812,-6.112,1,0.0409,100.0,4,0.22,88,2018,69,modern rock
0.159,0.547,193306,0.56,2zMDMCtGzTOD8qVHyznGIl,0.0,7,0.10300000000000001,-5.86,1,0.0283,131.855,3,0.485,61,2018,70,contemporary country
0.581,0.825,233713,0.652,7qiZfU4dY1lWllzX7mPBI3,0.0,1,0.0931,-3.1830000000000003,0,0.0802,95.977,4,0.9309999999999999,88,2018,71,pop
0.0232,0.89,233087,0.633,1XRgIKC5TPwo7nWGyKqgG0,0.000343,11,0.0993,-5.475,1,0.168,139.94799999999998,4,0.425,79,2018,72,atl hip hop
0.0733,0.552,260000,0.76,5WvAo7DNuPRmk4APhdPzi8,0.0,0,0.0865,-4.706,1,0.342,135.702,5,0.639,84,2018,73,dance pop
0.0651,0.797,173600,0.8440000000000001,4dVpf9jZjcORqGTLUaeYj9,0.0,11,0.087,-5.482,1,0.275,170.142,4,0.52,81,2018,74,gangster rap
0.0374,0.652,190647,0.799,46lg3BbcutEvBWXmC8BeTm,0.0,6,0.273,-5.452000000000001,1,0.0379,146.016,4,0.406,37,2018,75,dance pop
0.113,0.588,205453,0.408,0OWZFobGSIW9GrSlQ9C5pc,0.0,3,0.13,-8.662,1,0.0237,85.008,4,0.484,77,2018,76,contemporary country
0.555,0.56,173800,0.68,0d2iYfpKoM0QCKvcLCkBao,0.0,6,0.11599999999999999,-7.648,0,0.321,89.391,4,0.319,90,2018,77,dance pop
0.21100000000000002,0.449,228373,0.599,4MPTj8lMMvxLwT3EwuXFop,0.0,1,0.327,-4.8919999999999995,1,0.0369,134.144,3,0.165,82,2018,78,canadian contemporary r&b
0.000874,0.563,229670,0.7170000000000001,51rXHuKN8Loc4sUlKPODgH,0.0,1,0.183,-5.186,1,0.337,82.064,4,0.4270000000000001,78,2018,79,conscious hip hop
0.191,0.687,214290,0.792,2dpaYNEQHiRxtZbfNsse99,0.0,5,0.16699999999999998,-2.7489999999999997,1,0.0452,100.015,4,0.6709999999999999,96,2018,80,brostep
