year,rank,artist,id,genres,popularity,followers
2015,64,Foo Fighters,7jy3rLJdDQY21OgRLCZ9sD,"['alternative metal', 'alternative rock', 'modern rock', 'permanent wave', 'post-grunge', 'rock']",80,6092295
2015,65,Miley Cyrus,5YGY8feqx7naU7z4HrwZM6,"['dance pop', 'pop', 'post-teen pop']",84,8442273
2015,66,Flo Rida,0jnsk9HBra6NMjO2oANoPY,"['dance pop', 'edm', 'miami hip hop', 'pop', 'pop rap', 'post-teen pop']",81,6935124
2015,67,Little Big Town,3CygdxquGHurS7f9LjNLkv,"['contemporary country', 'country', 'country dawn', 'country road', 'modern country rock']",67,1382788
2015,68,Trey Songz,2iojnBLj0qIMiKPvVhLnsH,"['dance pop', 'pop', 'pop rap', 'r&b', 'southern hip hop', 'trap music', 'urban contemporary']",80,4093699
2015,69,Billy Joel,6zFYqv1mOsgBRQbae3JJ9e,"['album rock', 'classic rock', 'folk rock', 'mellow gold', 'piano rock', 'rock', 'singer-songwriter', 'soft rock']",78,1643943
2015,70,Thomas Rhett,6x2LnllRG5uGarZMsD4iO8,"['contemporary country', 'country', 'country road', 'modern country rock']",80,2556318
2015,71,Calvin Harris,7CajNmpbOovFoOoasH2HaY,"['dance pop', 'edm', 'electro house', 'house', 'pop', 'progressive house', 'uk dance']",91,16216501
2015,72,Jennifer Lopez,2DlGxzQSjYe5N6G9nkYghR,"['dance pop', 'pop', 'pop rap', 'post-teen pop', 'r&b', 'urban contemporary']",79,6256797
2015,73,Shania Twain,5e4Dhzv426EvQe3aDb64jL,"['canadian country', 'canadian pop', 'contemporary country', 'country', 'country dawn', 'dance pop']",73,1452616
2015,74,AC/DC,711MCceyCBcFnzjGY4Q7Un,"['album rock', 'australian rock', 'hard rock', 'rock']",84,10786746
2015,75,Madonna,6tbjWDEIzxoDsBA1FuhfPW,"['dance pop', 'europop', 'pop', 'pop rock']",78,2962414
2015,76,Omarion,0f5nVCcR06GX8Qikz0COtT,"['dance pop', 'deep pop r&b', 'hip hop', 'hip pop', 'pop', 'pop rap', 'r&b', 'rap', 'southern hip hop', 'trap music', 'urban contemporary']",68,1353709
2015,77,DJ Snake,540vIaP2JwjQb9dm3aArA4,"['dance pop', 'edm', 'electronic trap', 'pop', 'tropical house']",85,4438662
2015,78,Ne-Yo,21E3waRsmPlU7jZsS13rcj,"['dance pop', 'pop', 'pop rap', 'r&b', 'urban contemporary']",81,4436379
2015,79,twenty one pilots,3YQKmKGau1PzlVlkL1iodx,"['pop punk', 'rock']",88,12499255
2015,80,X Ambassadors,3NPpFNZtSTHheNBaWC82rB,"['modern alternative rock', 'modern rock', 'pop', 'pop rock', 'stomp pop']",77,1504340
2015,81,Vance Joy,10exVja0key0uqUkk6LJRT,"['folk-pop', 'indie folk', 'modern rock', 'neo mellow', 'pop']",78,1615698
2015,82,Kid Ink,6KZDXtSj0SzGOV705nNeh3,"['dance pop', 'hip hop', 'pop', 'pop rap', 'r&b', 'rap', 'southern hip hop', 'trap music']",76,2114976
