acousticness,analysis_url,danceability,duration_ms,energy,id,instrumentalness,key,liveness,loudness,mode,speechiness,tempo_normalised,tempo,time_signature,track_href,type,uri,valence
0.387,https://api.spotify.com/v1/audio-analysis/3Tc57t9l2O8FwQZtQOvPXK,0.938,179889,0.311,3Tc57t9l2O8FwQZtQOvPXK,0.000126,1,0.104,-11.206,0,0.376,0.3125875,100.014,4,https://api.spotify.com/v1/tracks/3Tc57t9l2O8FwQZtQOvPXK,audio_features,spotify:track:3Tc57t9l2O8FwQZtQOvPXK,0.557
0.295,https://api.spotify.com/v1/audio-analysis/2Zu0RM1e8qBQDfVIm072ki,0.957,160630,0.664,2Zu0RM1e8qBQDfVIm072ki,2.41E-06,9,0.217,-10.458,0,0.283,0.4811625,126.986,4,https://api.spotify.com/v1/tracks/2Zu0RM1e8qBQDfVIm072ki,audio_features,spotify:track:2Zu0RM1e8qBQDfVIm072ki,0.805
0.176,https://api.spotify.com/v1/audio-analysis/7COXchtUOMd6uIT6HvmRaI,0.599,162583,0.733,7COXchtUOMd6uIT6HvmRaI,0,11,0.242,-7.058,1,0.203,0.32631875,102.211,4,https://api.spotify.com/v1/tracks/7COXchtUOMd6uIT6HvmRaI,audio_features,spotify:track:7COXchtUOMd6uIT6HvmRaI,0.534
0.0519,https://api.spotify.com/v1/audio-analysis/0OGNtqKkjI7FCE9HZ4Khgo,0.42,206960,0.843,0OGNtqKkjI7FCE9HZ4Khgo,0,9,0.106,-4.231,0,0.121,0.77391875,173.827,3,https://api.spotify.com/v1/tracks/0OGNtqKkjI7FCE9HZ4Khgo,audio_features,spotify:track:0OGNtqKkjI7FCE9HZ4Khgo,0.491
0.0191,https://api.spotify.com/v1/audio-analysis/57nU6ivxzZemOQaQK0hqEs,0.803,210009,0.782,57nU6ivxzZemOQaQK0hqEs,4.70E-06,7,0.108,-3.873,0,0.0289,0.406425,115.028,4,https://api.spotify.com/v1/tracks/57nU6ivxzZemOQaQK0hqEs,audio_features,spotify:track:57nU6ivxzZemOQaQK0hqEs,0.785
0.645,https://api.spotify.com/v1/audio-analysis/2VVEyPFbGkDePlMDHxjqhq,0.622,197040,0.893,2VVEyPFbGkDePlMDHxjqhq,0,8,0.0569,-6.784,0,0.376,0.26356875,92.171,4,https://api.spotify.com/v1/tracks/2VVEyPFbGkDePlMDHxjqhq,audio_features,spotify:track:2VVEyPFbGkDePlMDHxjqhq,0.511
0.137,https://api.spotify.com/v1/audio-analysis/0YammaEkYSeo9vQYZ1OwS6,0.703,198947,0.66,0YammaEkYSeo9vQYZ1OwS6,0,10,0.192,-5.119,0,0.123,0.28144375,95.031,4,https://api.spotify.com/v1/tracks/0YammaEkYSeo9vQYZ1OwS6,audio_features,spotify:track:0YammaEkYSeo9vQYZ1OwS6,0.79
0.107,https://api.spotify.com/v1/audio-analysis/3KeWngnWN1REq9d26ZanKj,0.657,272524,0.739,3KeWngnWN1REq9d26ZanKj,0,5,0.0883,-8.509,0,0.316,0.37516875,110.027,4,https://api.spotify.com/v1/tracks/3KeWngnWN1REq9d26ZanKj,audio_features,spotify:track:3KeWngnWN1REq9d26ZanKj,0.406
0.0388,https://api.spotify.com/v1/audio-analysis/5jnZUl6PwWB0Maze4kDJfC,0.563,216760,0.908,5jnZUl6PwWB0Maze4kDJfC,1.53E-06,1,0.355,-4.428,1,0.0319,0.487075,127.932,4,https://api.spotify.com/v1/tracks/5jnZUl6PwWB0Maze4kDJfC,audio_features,spotify:track:5jnZUl6PwWB0Maze4kDJfC,0.67
0.449,https://api.spotify.com/v1/audio-analysis/7r3oAZHfnjuPNOsp8S8NvP,0.732,252378,0.71,7r3oAZHfnjuPNOsp8S8NvP,0,7,0.092,-6.913,1,0.086,0.29354375,96.967,4,https://api.spotify.com/v1/tracks/7r3oAZHfnjuPNOsp8S8NvP,audio_features,spotify:track:7r3oAZHfnjuPNOsp8S8NvP,0.383
0.297,https://api.spotify.com/v1/audio-analysis/5p7ujcrUXASCNwRaWNHR1C,0.752,201661,0.488,5p7ujcrUXASCNwRaWNHR1C,9.11E-06,6,0.0936,-7.05,1,0.0705,0.53775625,136.041,4,https://api.spotify.com/v1/tracks/5p7ujcrUXASCNwRaWNHR1C,audio_features,spotify:track:5p7ujcrUXASCNwRaWNHR1C,0.533
0.45,https://api.spotify.com/v1/audio-analysis/6Qs4SXO9dwPj5GKvVOv8Ki,0.741,171030,0.52,6Qs4SXO9dwPj5GKvVOv8Ki,1.97E-06,8,0.222,-7.513,1,0.0656,0.3312375,102.998,4,https://api.spotify.com/v1/tracks/6Qs4SXO9dwPj5GKvVOv8Ki,audio_features,spotify:track:6Qs4SXO9dwPj5GKvVOv8Ki,0.347
0.0361,https://api.spotify.com/v1/audio-analysis/53CJANUxooaqGOtdsBTh7O,0.908,113013,0.517,53CJANUxooaqGOtdsBTh7O,1.73E-06,1,0.0949,-6.063,1,0.129,0.53761875,136.019,4,https://api.spotify.com/v1/tracks/53CJANUxooaqGOtdsBTh7O,audio_features,spotify:track:53CJANUxooaqGOtdsBTh7O,0.471
0.934,https://api.spotify.com/v1/audio-analysis/1NJcg626wLln4pGHpiV7mf,0.351,200186,0.296,1NJcg626wLln4pGHpiV7mf,0,4,0.095,-10.109,0,0.0333,0.408025,115.284,4,https://api.spotify.com/v1/tracks/1NJcg626wLln4pGHpiV7mf,audio_features,spotify:track:1NJcg626wLln4pGHpiV7mf,0.12
0.704,https://api.spotify.com/v1/audio-analysis/6tsOcBnaKgzK22yEiqRh8P,0.892,158587,0.507,6tsOcBnaKgzK22yEiqRh8P,3.14E-05,0,0.109,-8.282,1,0.378,0.58725,143.96,4,https://api.spotify.com/v1/tracks/6tsOcBnaKgzK22yEiqRh8P,audio_features,spotify:track:6tsOcBnaKgzK22yEiqRh8P,0.695
0.251,https://api.spotify.com/v1/audio-analysis/2nFaT0t36H6UX3wN3Vxvjm,0.682,192760,0.675,2nFaT0t36H6UX3wN3Vxvjm,3.99E-06,2,0.257,-8.29,1,0.0486,0.5310875,134.974,4,https://api.spotify.com/v1/tracks/2nFaT0t36H6UX3wN3Vxvjm,audio_features,spotify:track:2nFaT0t36H6UX3wN3Vxvjm,0.617
0.176,https://api.spotify.com/v1/audio-analysis/0E9ZjEAyAwOXZ7wJC0PD33,0.694,184560,0.77,0E9ZjEAyAwOXZ7wJC0PD33,1.10E-05,6,0.118,-5.335,1,0.149,0.47440625,125.905,4,https://api.spotify.com/v1/tracks/0E9ZjEAyAwOXZ7wJC0PD33,audio_features,spotify:track:0E9ZjEAyAwOXZ7wJC0PD33,0.163
0.00678,https://api.spotify.com/v1/audio-analysis/5TvFjvlL5yvStZeaCPxNPI,0.79,165520,0.63,5TvFjvlL5yvStZeaCPxNPI,0,6,0.121,-6.956,1,0.101,0.59364375,144.983,5,https://api.spotify.com/v1/tracks/5TvFjvlL5yvStZeaCPxNPI,audio_features,spotify:track:5TvFjvlL5yvStZeaCPxNPI,0.557
0.0754,https://api.spotify.com/v1/audio-analysis/0uUNN1nSoUx1A4fkDCWDQ7,0.684,184296,0.677,0uUNN1nSoUx1A4fkDCWDQ7,0,6,0.133,-4.034,1,0.0464,0.50088125,130.141,4,https://api.spotify.com/v1/tracks/0uUNN1nSoUx1A4fkDCWDQ7,audio_features,spotify:track:0uUNN1nSoUx1A4fkDCWDQ7,0.595
0.548,https://api.spotify.com/v1/audio-analysis/1bpjCGto1wM6A8UOmX32o4,0.66,161147,0.535,1bpjCGto1wM6A8UOmX32o4,1.24E-05,10,0.109,-9.295,0,0.17,0.72426875,165.883,4,https://api.spotify.com/v1/tracks/1bpjCGto1wM6A8UOmX32o4,audio_features,spotify:track:1bpjCGto1wM6A8UOmX32o4,0.4
