acousticness,analysis_url,danceability,duration_ms,energy,id,instrumentalness,key,liveness,loudness,mode,speechiness,tempo_normalised,tempo,time_signature,track_href,type,uri,valence,0
0.237,https://api.spotify.com/v1/audio-analysis/5ODlTG5qxhCsC05E36Rv25,0.754,211840,0.602,5ODlTG5qxhCsC05E36Rv25,0,10,0.151,-6.785,0,0.428,0.20026875,82.043,4,https://api.spotify.com/v1/tracks/5ODlTG5qxhCsC05E36Rv25,audio_features,spotify:track:5ODlTG5qxhCsC05E36Rv25,0.587,
0.016,https://api.spotify.com/v1/audio-analysis/5itOtNx0WxtJmi1TQ3RuRd,0.807,229184,0.887,5itOtNx0WxtJmi1TQ3RuRd,0.000503,1,0.0811,-4.311,0,0.0361,0.45009375,122.015,4,https://api.spotify.com/v1/tracks/5itOtNx0WxtJmi1TQ3RuRd,audio_features,spotify:track:5itOtNx0WxtJmi1TQ3RuRd,0.606,
0.182,https://api.spotify.com/v1/audio-analysis/2tVNMtgZ2CQpTx7vgcuTkL,0.695,201547,0.708,2tVNMtgZ2CQpTx7vgcuTkL,0,9,0.0462,-6.348,0,0.0428,0.34998125,105.997,4,https://api.spotify.com/v1/tracks/2tVNMtgZ2CQpTx7vgcuTkL,audio_features,spotify:track:2tVNMtgZ2CQpTx7vgcuTkL,0.599,
0.506,https://api.spotify.com/v1/audio-analysis/5dwVYGlrdLDnB77IQHr0hT,0.569,160490,0.332,5dwVYGlrdLDnB77IQHr0hT,0,2,0.102,-9.157,1,0.0411,0.15599375,74.959,4,https://api.spotify.com/v1/tracks/5dwVYGlrdLDnB77IQHr0hT,audio_features,spotify:track:5dwVYGlrdLDnB77IQHr0hT,0.247,
0.752,https://api.spotify.com/v1/audio-analysis/4SSnFejRGlZikf02HLewEF,0.888,193143,0.395,4SSnFejRGlZikf02HLewEF,0.14,8,0.106,-14.645,1,0.324,0.4378625,120.058,4,https://api.spotify.com/v1/tracks/4SSnFejRGlZikf02HLewEF,audio_features,spotify:track:4SSnFejRGlZikf02HLewEF,0.162,
0.191,https://api.spotify.com/v1/audio-analysis/2dpaYNEQHiRxtZbfNsse99,0.687,214290,0.792,2dpaYNEQHiRxtZbfNsse99,0,5,0.167,-2.749,1,0.0452,0.31259375,100.015,4,https://api.spotify.com/v1/tracks/2dpaYNEQHiRxtZbfNsse99,audio_features,spotify:track:2dpaYNEQHiRxtZbfNsse99,0.671,
0.275,https://api.spotify.com/v1/audio-analysis/7fXTNTj6tiyaIvcezY8k5f,0.435,239693,0.578,7fXTNTj6tiyaIvcezY8k5f,0,2,0.158,-3.796,1,0.032,0.50284375,130.455,3,https://api.spotify.com/v1/tracks/7fXTNTj6tiyaIvcezY8k5f,audio_features,spotify:track:7fXTNTj6tiyaIvcezY8k5f,0.147,
0.602,https://api.spotify.com/v1/audio-analysis/5W83ErFkO3aKAIS1WMi6u0,0.807,258800,0.803,5W83ErFkO3aKAIS1WMi6u0,0.00853,11,0.136,-4.156,1,0.126,0.26241875,91.987,4,https://api.spotify.com/v1/tracks/5W83ErFkO3aKAIS1WMi6u0,audio_features,spotify:track:5W83ErFkO3aKAIS1WMi6u0,0.706,
0.0981,https://api.spotify.com/v1/audio-analysis/0hv42i6P5VoF76Zihsrsst,0.768,153134,0.795,0hv42i6P5VoF76Zihsrsst,3.05E-05,11,0.127,-5.529,1,0.142,0.51155,131.848,4,https://api.spotify.com/v1/tracks/0hv42i6P5VoF76Zihsrsst,audio_features,spotify:track:0hv42i6P5VoF76Zihsrsst,0.465,
0.19,https://api.spotify.com/v1/audio-analysis/0KvKUijfGJjBgtWse4ot1Y,0.587,122424,0.813,0KvKUijfGJjBgtWse4ot1Y,1.07E-05,1,0.111,-6.057,1,0.444,0.9249875,197.998,4,https://api.spotify.com/v1/tracks/0KvKUijfGJjBgtWse4ot1Y,audio_features,spotify:track:0KvKUijfGJjBgtWse4ot1Y,0.429,
